stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,wheelchair_boarding,location_type,parent_station,platform_code
140234,140234,ARRENTELA (AV REPÚBLICA N23),Arrentela ( Avenida República ( Número 23 ) ),38.628842,-9.10453,0,0,,
140235,140235,AV JOSÉ AFONSO (ROT) ECOM NÚCLEO NAVAL,Avenida José Afonso ( Rotunda ) Ecomuseu Núcleo Naval,38.630807,-9.105141,0,0,,
140237,140237,SEIXALAV REP (POSTO ABAST/QTA FIDALGA),Seixalav República ( Posto De Abastecimento Fidalga ),38.634551,-9.10586,0,0,,
140241,140241,SEIXAL (AV REPÚBLICA) STA C MISERICÓRDIA,Seixal ( Avenida República ) Santa Cása Misericórdia,38.641202,-9.105733,0,0,,
140243,140243,SEIXAL R PAIVA COE (PÇA REP) CM SEIXAL,Seixal Rua Paiva Coelho ( Práça República ) Câmara Municipal Seixal,38.643081,-9.106446,0,0,,
140245,140245,SEIXAL (LARGO RESTAURADORES) PSP,Seixal ( Largo Restauradores ) Polícia,38.643958,-9.101085,0,0,,
140247,140247,SEIXAL AV DR ANT BABO (MERCADO MUNICIP),Seixal Avenida Doutor António Babo ( Mercado Municipal ),38.643369,-9.099191,0,0,,
140249,140249,SEIXAL (AV METALÚRGICOS N10),Seixal ( Avenida Metalúrgicos ( Número 10 ) ),38.638812,-9.09711,0,0,,
140250,140250,SEIXAL (AV METALÚRGICOS N10),Seixal ( Avenida Metalúrgicos ( Número 10 ) ),38.638573,-9.097134,0,0,,
140251,140251,SEIXAL (AV METALÚRGICOS 49),Seixal ( Avenida Metalúrgicos 49 ),38.636622,-9.094888,0,0,,
140252,140252,SEIXAL (AV METALÚRGICOS 49),Seixal ( Avenida Metalúrgicos 49 ),38.636619,-9.095093,0,0,,
140253,140253,SEIXAL (AV METALÚRGICOS N89),Seixal ( Avenida Metalúrgicos ( Número 89 ) ),38.634869,-9.093252,0,0,,
140254,140254,SEIXAL (AV METALÚRGICOS N89),Seixal ( Avenida Metalúrgicos ( Número 89 ) ),38.634622,-9.093208,0,0,,
140255,140255,P PIRES AV METALÚRGICOS 101A (ESCOLA),Paio Pires Avenida Metalúrgicos 101 Á ( Escola ),38.63319,-9.09107,0,0,,
140256,140256,P PIRES AV METALÚRGICOS 101A (ESCOLA),Paio Pires Avenida Metalúrgicos 101 Á ( Escola ),38.633009,-9.091093,0,0,,
140257,140257,P PIRES (AV METALÚRG 146) CASAL STO ANT,Paio Pires ( Avenida Metalúrg 146 ) Casal Santo António,38.631385,-9.088755,0,0,,
140258,140258,P PIRES (AV METALÚRG 146) CASAL STO ANT,Paio Pires ( Avenida Metalúrg 146 ) Casal Santo António,38.631141,-9.087915,0,0,,
140259,140259,P PIRES (AV METALÚRGICOS173) ALTO BREJO,Paio Pires ( Avenida Metalúrgicos 173 ) Alto Brejo,38.628511,-9.086183,0,0,,
140260,140260,P PIRES (AV METALÚRGICOS173) ALTO BREJO,Paio Pires ( Avenida Metalúrgicos 173 ) Alto Brejo,38.628406,-9.086276,0,0,,
140261,140261,PAIO PIRES (AV METALÚRGICOS) BEIRA-RIO,Paio Pires ( Avenida Metalúrgicos ) Beira-rio,38.626811,-9.08437,0,0,,
140262,140262,PAIO PIRES (AV METALÚRGICOS) BEIRA-RIO,Paio Pires ( Avenida Metalúrgicos ) Beira-rio,38.627387,-9.08507,0,0,,
140267,140267,PAIO PIRES (SEIXEIRA) R ALVES REDOL 2,Paio Pires ( Seixeira ) Rua Alves Redol 2,38.620547,-9.082733,0,0,,
140269,140269,A BONECOS (AV 1º MAIO N31),Alto Dos Bonecos ( Avenida Primeiro De Maio ( Número 31 ) ),38.617138,-9.084517,0,0,,
140270,140270,A BONECOS (AV 1º MAIO N31),Alto Dos Bonecos ( Avenida Primeiro De Maio ( Número 31 ) ),38.617071,-9.084714,0,0,,
140271,140271,A BONECOS (AV 1º MAIO 53),Alto Dos Bonecos ( Avenida Primeiro De Maio Número 53 ),38.615161,-9.086092,0,0,,
140272,140272,A BONECOS (AV 1º MAIO 53),Alto Dos Bonecos ( Avenida Primeiro De Maio Número 53 ),38.615009,-9.086388,0,0,,
140274,140274,P PIRES (R TOMÁS MELO 8) QTA FLAMÂNCIA,Paio Pires ( Rua Tomás Melo 8 ) Quinta Flamância,38.612027,-9.088969,0,0,,
140276,140276,PAIO PIRES (QTA FLAMÂNCIA)R GEN H DEL 34,Paio Pires ( Quinta Flamância ) Rua General Humberto Delgado 34,38.610143,-9.088376,0,0,,
140277,140277,P PIRES R TOMÁS MELO 8 (QTA FLAMÂNCIA),Paio Pires Rua Tomás Melo 8 ( Quinta Flamância ),38.611778,-9.088692,0,0,,
140279,140279,P PIRES (SEIXEIRA) LGO 1º MAIO (PARQUE),Paio Pires ( Seixeira ) Largo Primeiro De Maio ( Parque ),38.620773,-9.082495,0,0,,
140289,140289,SEIXAL AV REPÚBLICA (R CARLOS PAREDES),Seixal Avenida República ( Rua Carlos Paredes ),38.636035,-9.10598,0,0,,
140291,140291,AV REPÚBL (ROTUNDA) PARQUE ARRENTELA,Avenida República ( Rotunda ) Parque Arrentela,38.631906,-9.10554,0,0,,
140293,140293,TORRE MAR (MATADOURO) (X) AV 6 NOV 1836,Cruzamento Entre ( Torre Mar ( Matadouro ) ) E Avenida 6 De Novembro 1836,38.621947,-9.105684,0,0,,
140295,140295,FOGUETEIRO (R MOV FORÇ ARM 22) FARMÁCIA,Fogueteiro ( Rua Movimento Das Forças Armadas 22 ) Farmácia,38.619059,-9.111159,0,0,,
140297,140297,AMORA (R OPERÁRIOS N28),Amóra ( Rua Operários ( Número 28 ) ),38.630624,-9.114746,0,0,,
140299,140299,C PAU AV MARCOS PT (FARMÁCIACENTRO),Cruz Pau Avenida Marcos Portugal ( Farmáciacentro ),38.624372,-9.12192,0,0,,
140301,140301,FANQUEIRO (R ANTÓNIO SÉRGIO N4),Fanqueiro ( Rua António Sérgio ( Número 4 ) ),38.608129,-9.127306,0,0,,
140303,140303,FANQUEIRO (R ANTÓNIO SÉRGIO LTE 92),Fanqueiro ( Rua António Sérgio - Lóte 92 ),38.609377,-9.129778,0,0,,
140305,140305,BELVERDE (AV BELVERDE N718),Belverde ( Avenida Belverde ( Número 718 ) ),38.600415,-9.139529,0,0,,
140307,140307,CRUZ PAU AV 1º MAIO (X) AV DR LUIS SÁ,Cruz Pau ( Cruzamento Entre ( Avenida Primeiro De Maio ) E Avenida Doutor Luis Sá ),38.624033,-9.127012,0,0,,
140309,140309,AMORA AV BAÍA NAT SEIXAL 998 (SEG SOC),Amóra Avenida Baía Natural Seixal 998 ( Segurança Social ),38.629712,-9.117879,0,0,,
140310,140310,AMORA AV BAÍA NAT SEIXAL 998 (SEG SOC),Amóra Avenida Baía Natural Seixal 998 ( Segurança Social ),38.629593,-9.117648,0,0,,
140311,140311,"AMORA R EMIDIO GUI GAR MENDES 29 ",Amóra Rua Emidio Guilherme Garcia Mendes 29,38.62752,-9.115527,0,0,,
140313,140313,AMORA (R DR EMIDIO GUI GAR MENDES 32),Amóra ( Rua Doutor Emidio Guilherme Garcia Mendes 32 ),38.62497,-9.114341,0,0,,
140314,140314,AMORA (R DR EMIDIO GUI GAR MENDES 32),Amóra ( Rua Doutor Emidio Guilherme Garcia Mendes 32 ),38.624937,-9.114433,0,0,,
140315,140315,AMORA AV AFONSO COSTA 7 ESCOLA,Amóra Avenida Afonso Costa 7 Escola,38.621933,-9.11157,0,0,,
140317,140317,TORRE MAR AV DR ARLVICENTE 67 (ROT),Torre Mar Avenida Doutor Arlvicente 67 ( Rotunda ),38.618658,-9.104888,0,0,,
140318,140318,TORRE MAR AV DR ARLVICENTE 67 (ROT),Torre Mar Avenida Doutor Arlvicente 67 ( Rotunda ),38.618509,-9.104693,0,0,,
140319,140319,TORRE MARINHA (R LUIS CAMÕES 26) TÚNEL,Torre Marinha ( Rua Luís De Camões 26 ) Túnel,38.617596,-9.100557,0,0,,
140320,140320,TORRE MARINHA (R LUIS CAMÕES 26) TÚNEL,Torre Marinha ( Rua Luís De Camões 26 ) Túnel,38.617607,-9.100862,0,0,,
140321,140321,CAVADAS R 25 ABRIL (ESCOLA),Cavadas Rua 25 De Abril ( Escola ),38.617981,-9.098823,0,0,,
140322,140322,CAVADAS R 25 ABRIL (ESCOLA),Cavadas Rua 25 De Abril ( Escola ),38.617933,-9.099008,0,0,,
140323,140323,CAVADAS R 25 ABRIL 60 (FARMÁCIA),Cavadas Rua 25 De Abril Número 60 ( Farmácia ),38.615891,-9.096391,0,0,,
