route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
A,1,A_1_11.A032,Santa Apolónia,1,shp6
A,1,A_1_11.A033,Reboleira,0,shp7
B,1,B_1_30.B30,Odivelas,1,shp9
B,1,B_1_30.B2,Rato,0,shp10
B,1,B_1_30.B3,Odivelas,1,shp11
B,1,B_1_30.B4,Rato,0,shp10
B,1,B_1_30.B5,Odivelas,1,shp11
B,1,B_1_30.B6,Rato,0,shp10
B,1,B_1_30.B7,Odivelas,1,shp11
B,1,B_1_30.B8,Rato,0,shp10
B,1,B_1_30.B9,Odivelas,1,shp11
B,1,B_1_30.B10,Rato,0,shp10
B,1,B_1_30.B11,Odivelas,1,shp11
B,1,B_1_30.B12,Rato,0,shp10
B,1,B_1_30.B13,Odivelas,1,shp11
B,1,B_1_30.B14,Rato,0,shp10
B,1,B_1_30.B15,Odivelas,1,shp11
B,1,B_1_30.B16,Rato,0,shp10
B,1,B_1_30.B17,Odivelas,1,shp11
B,1,B_1_30.B18,Rato,0,shp10
B,1,B_1_30.B19,Odivelas,1,shp11
B,1,B_1_30.B20,Rato,0,shp10
B,1,B_1_30.B21,Odivelas,1,shp11
B,1,B_1_30.B22,Rato,0,shp10
B,1,B_1_30.B23,Odivelas,1,shp11
B,1,B_1_30.B24,Rato,0,shp10
B,1,B_1_30.B25,Odivelas,1,shp11
B,1,B_1_30.B26,Rato,0,shp10
B,1,B_1_30.B27,Odivelas,1,shp11
A,1,A_1_10.A3,Santa Apolónia,1,shp6
A,1,A_1_10.A4,Reboleira,0,shp7
A,1,A_1_10.A5,Santa Apolónia,1,shp6
A,1,A_1_10.A6,Reboleira,0,shp7
A,1,A_1_10.A7,Santa Apolónia,1,shp6
A,1,A_1_10.A8,Reboleira,0,shp7
A,1,A_1_10.A9,Santa Apolónia,1,shp6
A,1,A_1_10.A10,Reboleira,0,shp7
A,1,A_1_10.A11,Santa Apolónia,1,shp6
A,1,A_1_10.A12,Reboleira,0,shp7
A,1,A_1_10.A13,Santa Apolónia,1,shp6
A,1,A_1_10.A14,Reboleira,0,shp7
A,1,A_1_10.A15,Santa Apolónia,1,shp6
A,1,A_1_10.A16,Reboleira,0,shp7
A,1,A_1_10.A17,Santa Apolónia,1,shp6
A,1,A_1_10.A18,Reboleira,0,shp7
A,1,A_1_10.A19,Santa Apolónia,1,shp6
A,1,A_1_10.A20,Reboleira,0,shp7
A,1,A_1_10.A21,Santa Apolónia,1,shp6
A,1,A_1_10.A22,Reboleira,0,shp7
A,1,A_1_10.A23,Santa Apolónia,1,shp6
A,1,A_1_10.A24,Reboleira,0,shp7
A,1,A_1_10.A25,Santa Apolónia,1,shp6
A,1,A_1_10.A26,Reboleira,0,shp7
A,1,A_1_10.A27,Santa Apolónia,1,shp6
A,1,A_1_10.A28,Reboleira,0,shp7
A,1,A_1_10.A1,Santa Apolónia,1,shp6
A,1,A_1_10.A29,Reboleira,0,shp7
A,1,A_1_10.A30,Santa Apolónia,1,shp6
A,1,A_1_10.A31,Reboleira,0,shp7
A,1,A_1_10.A32,Santa Apolónia,1,shp6
A,1,A_1_10.A032,Reboleira,0,shp7
A,1,A_1_10.A033,Santa Apolónia,1,shp6
B,1,B_1_29.B28,Odivelas,1,shp9
B,1,B_1_29.B2,Rato,0,shp10
B,1,B_1_29.B3,Odivelas,1,shp11
B,1,B_1_29.B4,Rato,0,shp10
B,1,B_1_29.B5,Odivelas,1,shp11
B,1,B_1_29.B6,Rato,0,shp10
B,1,B_1_29.B7,Odivelas,1,shp11
B,1,B_1_29.B8,Rato,0,shp10
B,1,B_1_29.B9,Campo Grande,1,shp12
B,1,B_1_29.B10,Rato,0,shp13
B,1,B_1_29.B11,Campo Grande,1,shp12
B,1,B_1_29.B12,Rato,0,shp13
B,1,B_1_29.B13,Campo Grande,1,shp12
B,1,B_1_29.B14,Rato,0,shp13
B,1,B_1_29.B15,Campo Grande,1,shp12
B,1,B_1_29.B16,Rato,0,shp13
B,1,B_1_29.B17,Campo Grande,1,shp12
